V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
0.058842929,0.059896079,0.048063669,0.047985402,0.04803208,0.047870479,0.047598526,0.047750773,0.04805848,0.041040827,0.041625896
0.099804038,0.098685536,0.07609132,0.076531912,0.076376758,0.076629638,0.077177792,0.07694347,0.076442035,0.066298343,0.067399716
0.173520963,0.178826874,0.136923715,0.140538309,0.140282411,0.139712654,0.140169488,0.141465215,0.138544153,0.115902715,0.118054609
0.172953851,0.177626672,0.136639452,0.139828682,0.139630357,0.139370741,0.139469472,0.140927168,0.137954992,0.115257438,0.117170981
0.104630984,0.104103963,0.083856562,0.082139379,0.082455566,0.081512341,0.081478828,0.081480935,0.08187577,0.07421562,0.073192416
0.060403084,0.059823677,0.044902176,0.045635306,0.045510436,0.045116495,0.045195205,0.045245515,0.045481209,0.039736735,0.040423465
0.127191155,0.124557044,0.092718671,0.092221795,0.092984429,0.091939386,0.092508881,0.093093278,0.091315391,0.084786073,0.08236057
0.134264842,0.130682073,0.097979215,0.096918243,0.098227136,0.097189488,0.097375977,0.098438266,0.09668881,0.088459068,0.086471841
