V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0.006,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.040,0.032,0.033,0.033,0.033,0.033,0.033,0.032,0.032,0.022,0.026
0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.003,0.030,0.028,0.027,0.028,0.028,0.027,0.027,0.026,0.027,0.018,0.021
