V1,V2,V3,V4,V5,V6
0.148808866,0.093726286,0.07694945,0.161968209,0.085274777,0.121350743
0.134578061,0.10123029,0.073492249,0.189175882,0.086618471,0.122321991
0.147480555,0.083496271,0.062911881,0.146155752,0.083147247,0.120351285
0.112887995,0.102023067,0.066858585,0.148609196,0.089588554,0.121798884
0.11276896,0.103280091,0.066569096,0.146921657,0.088187883,0.120979114
0.117789345,0.103158273,0.068056502,0.147984263,0.090328509,0.120769885
0.115204058,0.101491972,0.066115946,0.142670076,0.087550055,0.119965841
0.115825287,0.102793867,0.067222832,0.144471647,0.088085602,0.120376897
0.119036413,0.102591225,0.067345862,0.150954261,0.088959289,0.119839027
0.096256349,0.083719001,0.05165409,0.127174941,0.078318534,0.126757402
0.089785799,0.099828881,0.070022812,0.141589494,0.081418366,0.123942843
