V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 0.00008 , 0.00008 , 0.00010 , 0.00010 , 0.00009 , 0.00010 , 0.00010 , 0.00010 , 0.00010 , 0.00008 , 0.00007 
 0.00010 , 0.00010 , 0.00011 , 0.00011 , 0.00011 , 0.00012 , 0.00011 , 0.00011 , 0.00011 , 0.00009 , 0.00009 
