V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
0.853,0.915,0.900,0.948,0.949,0.951,0.949,0.948,0.936,0.757,0.883,0.933,0.960,0.867,0.912,0.915,0.917,0.913,0.928,0.913,0.962,0.948
0.885,0.874,0.599,0.628,0.611,0.614,0.645,0.644,0.627,0.873,0.795,0.924,0.977,0.868,0.898,0.896,0.892,0.909,0.911,0.894,0.967,0.930
